CreatedDate,Unnamed: 0,MeterSerialNo,ConsumerID,KVAH,KWH,RPhaseVoltage,YPhaseVoltage,BPhaseVoltage,RPhaseCurrent,YPhaseCurrent,BPhaseCurrent,ActivePower,ReactivePower,ApparentPower,TotalPowerFactor,Frequency,MaximumDemandKW,MaximumDemandKVA
2024-01-04 00:16:00,2716.0,88.0,115.0,6949.82,6718.491,257.07,259.22,258.95,1.49,0.81,0.74,0.69,655.2,0.71,0.97,49.976,0.26,0.27
2024-01-04 00:22:00,2715.0,88.0,115.0,6949.894,6718.563,257.3,260.03,258.6,1.45,0.83,0.74,0.68,655.2,0.71,0.97,49.997,0.26,0.27
2024-01-04 00:29:00,2714.0,88.0,115.0,6949.968,6718.634,256.09,259.69,258.99,1.51,0.83,0.75,0.71,655.19,0.73,0.971,49.971,0.26,0.27
2024-01-04 00:35:00,2713.0,88.0,115.0,6950.052,6718.716,256.06,259.16,258.36,1.52,0.83,3.38,1.39,655.2,1.41,0.989,49.974,0.26,0.27
2024-01-04 00:54:00,2710.0,88.0,115.0,6950.309,6718.965,258.0,259.59,258.6,1.48,0.83,1.29,0.79,0.01,0.84,0.943,50.056,0.26,0.27
2024-01-04 01:06:00,2708.0,88.0,115.0,6950.487,6719.134,257.37,260.11,258.7,1.66,0.97,0.75,0.75,655.19,0.77,0.971,50.005,0.26,0.27
2024-01-04 01:19:00,2706.0,88.0,115.0,6950.656,6719.298,257.12,260.08,258.19,1.36,1.02,0.74,0.68,655.19,0.71,0.966,50.0,0.26,0.27
2024-01-04 01:38:00,2703.0,88.0,115.0,6950.869,6719.502,257.13,260.53,259.2,1.15,0.95,0.74,0.64,655.18,0.67,0.955,50.021,0.26,0.27
2024-01-04 01:50:00,2701.0,88.0,115.0,6951.01,6719.637,257.67,260.04,259.86,1.26,0.94,0.74,0.66,655.19,0.69,0.96,50.016,0.26,0.27
2024-01-04 01:56:00,2700.0,88.0,115.0,6951.112,6719.735,257.84,260.39,258.99,1.36,0.94,1.28,0.79,654.1936340371082,0.85,0.938,50.051,0.26,0.27
2024-01-04 14:09:00,2698.0,88.0,115.0,6955.474,6723.854,240.1,244.07,242.16,0.87,5.8557500000000005,2.3568141592920355,0.18,655.29,0.19,0.928,49.939,0.26,0.27
2024-01-04 14:15:00,2697.0,88.0,115.0,6955.495,6723.873,240.72,242.62,241.04,0.87,5.8557500000000005,2.3568141592920355,0.18,655.29,0.19,0.924,49.934,0.26,0.27
2024-01-04 19:47:00,2694.0,88.0,115.0,6957.423,6725.703,244.67,245.95,245.03,1.73,0.83,0.78,0.74,655.22,0.75,0.978,49.974,0.26,0.27
2024-01-04 20:36:00,2690.0,88.0,115.0,6958.093,6726.354,246.92,249.36,247.71,1.73,0.83,0.77,0.74,655.21,0.76,0.979,49.878,0.26,0.27
2024-01-04 21:01:00,2688.0,88.0,115.0,6958.422,6726.673,248.91,252.33,250.77,1.54,0.82,1.28,0.82,635.4931002331002,0.86,0.952,49.889,0.26,0.27
2024-01-04 21:23:00,2686.0,88.0,115.0,6958.723,6726.964,251.53,254.51,252.41,1.61,0.81,0.75,0.72,655.2,0.74,0.973,49.992,0.26,0.27
2024-01-04 21:42:00,2683.0,88.0,115.0,6958.974,6727.209,253.55,255.51,254.06,1.54,0.81,0.75,0.71,655.2,0.73,0.972,50.067,0.26,0.27
2024-01-04 21:54:00,2681.0,88.0,115.0,6959.125,6727.356,253.23,256.31,253.89,1.56,0.81,0.75,0.7,655.21,0.71,0.976,50.04,0.26,0.27
2024-01-04 22:01:00,2680.0,88.0,115.0,6959.214,6727.44,254.08,255.28,255.28,1.5,0.8,1.28,0.79,0.01,0.84,0.948,50.123,0.26,0.27
2024-01-04 22:07:00,2679.0,88.0,115.0,6959.305,6727.527,252.71,254.2,253.64,1.48,0.81,3.81,1.46,630.8669898430287,1.48,0.985,49.923,0.26,0.27
2024-01-04 22:45:00,2673.0,88.0,115.0,6959.783,6727.992,254.85,256.74,256.29,1.56,0.8,0.75,0.68,655.21,0.7,0.973,50.059,0.26,0.27
2024-01-04 22:51:00,2672.0,88.0,115.0,6959.876,6728.084,254.29,258.04,256.47,1.49,0.8,0.75,0.68,655.21,0.7,0.97,50.024,0.26,0.27
2024-01-04 23:04:00,2670.0,88.0,115.0,6960.156,6728.359,255.47,258.6,257.03,1.47,0.8,1.29,0.79,0.01,0.83,0.946,49.937,0.26,0.27
2024-01-04 23:16:00,2668.0,88.0,115.0,6960.333,6728.527,256.59,259.73,258.05,1.61,0.8,0.74,0.7,655.21,0.72,0.972,49.982,0.26,0.27
2024-01-04 23:47:00,2663.0,88.0,115.0,6960.75,6728.934,257.89,259.98,258.18,1.51,0.8,0.74,0.68,655.2,0.7,0.97,50.019,0.26,0.27
2024-01-05 00:12:00,2660.0,88.0,115.0,6961.091,6729.262,255.79,259.24,257.04,1.37,0.8,1.29,0.76,0.01,0.81,0.941,50.029,0.26,0.27
2024-01-05 00:19:00,2659.0,88.0,115.0,6961.177,6729.343,255.66,258.9,256.62,1.46,0.8,0.74,0.67,655.2,0.69,0.969,49.952,0.26,0.27
