CreatedDate,KWH,KVAH,RPhaseVoltage,YPhaseVoltage,BPhaseVoltage,RPhaseCurrent,YPhaseCurrent,BPhaseCurrent,ActivePower,ReactivePower,ApparentPower,TotalPowerFactor,Frequency,MaximumDemandKW,MaximumDemandKVA
2024-01-04,168095.524,173885.323,229.475244972,230.99433298,230.949791396,1.4524000000000001,1.24726,1.2121451327433628,1.4680000000000002,1072.7437489645295,1.5191999999999999,0.9078091334,49.829600664400004,0.52,0.54
2024-01-05,430973.725,445825.416,230.00722665,230.6772807953125,228.92537954375,1.30125,1.7325857092357573,0.9940906216183706,1.085625,1135.3244499721206,1.1325,0.880822653703125,49.87812246140625,0.52,0.54
2024-01-06,472116.412,488400.323,229.90413661285714,228.21447024714286,233.24538219714287,0.9428571428571428,2.7664799212505025,1.1103833160068908,0.594,1263.346570555717,0.6414285714285715,0.8958131951428572,49.853118608,0.52,0.54
2024-01-07,161970.009,167565.424,230.88544225833334,229.31678726666667,227.37315145,0.8329166666666666,4.804643342815969,1.6415703515177338,0.34,1310.5275,0.39166666666666666,0.8869328155833333,49.8380424975,0.52,0.54
2024-01-08,189136.176,195682.376,231.81033689285712,232.0591156142857,226.5246986357143,1.2553571428571428,2.350876796809024,1.1538682769598894,1.1092857142857142,1287.1719817597368,1.157142857142857,0.9287534588214286,49.8700218325,0.52,0.54
2024-01-09,297649.169,307960.124,230.19843288863638,229.9177154840909,227.82477801363638,1.5077272727272728,1.3393939758176718,1.2060476945487482,1.4622727272727274,1020.2036776757118,1.5122727272727274,0.9044642010454546,49.908165921590914,0.52,0.54
2024-01-10,277772.456,287401.044,231.59490582439022,232.85858021463412,232.244784202439,1.3117073170731708,3.0475530364654597,1.686250124780694,1.08,1214.5600231858357,1.1243902439024391,0.8916900257560976,49.78441912512195,0.52,0.54
2024-01-11,33929.178,35105.834,236.09817033999997,228.58059134,236.85324255999998,1.202,3.7291794397977043,2.150794838538029,1.1,1310.484,1.136,0.9236330540000001,49.761814138,0.52,0.54
2024-01-12,265188.25800000003,274393.8,232.8095083102564,230.17094423589742,228.96431112564102,1.1887179487179487,3.5543207386788205,2.0134198966580277,0.9851282051282052,1209.6948717948717,1.0251282051282051,0.8971266393076923,49.847276844102566,0.52,0.54
2024-01-13,0.0,0.0,,,,,,,,,,,,,
2024-01-14,0.0,0.0,,,,,,,,,,,,,
2024-01-15,0.0,0.0,,,,,,,,,,,,,
2024-01-16,0.0,0.0,,,,,,,,,,,,,
2024-01-17,0.0,0.0,,,,,,,,,,,,,
2024-01-18,0.0,0.0,,,,,,,,,,,,,
2024-01-19,0.0,0.0,,,,,,,,,,,,,
2024-01-20,0.0,0.0,,,,,,,,,,,,,
2024-01-21,0.0,0.0,,,,,,,,,,,,,
2024-01-22,0.0,0.0,,,,,,,,,,,,,
2024-01-23,0.0,0.0,,,,,,,,,,,,,
2024-01-24,0.0,0.0,,,,,,,,,,,,,
2024-01-25,0.0,0.0,,,,,,,,,,,,,
2024-01-26,0.0,0.0,,,,,,,,,,,,,
2024-01-27,0.0,0.0,,,,,,,,,,,,,
2024-01-28,0.0,0.0,,,,,,,,,,,,,
2024-01-29,0.0,0.0,,,,,,,,,,,,,
2024-01-30,0.0,0.0,,,,,,,,,,,,,
2024-01-31,0.0,0.0,,,,,,,,,,,,,
2024-02-01,0.0,0.0,,,,,,,,,,,,,
2024-02-02,0.0,0.0,,,,,,,,,,,,,
2024-02-03,0.0,0.0,,,,,,,,,,,,,
2024-02-04,308408.905,319377.506,230.11775778181817,227.2422057340909,229.37221895227273,0.8690909090909091,4.580077469112567,1.895253771516206,0.36590909090909096,1310.5531818181817,0.4059090909090909,0.9047731801818183,49.864136352500005,0.3,0.3
