CreatedDate,KWH,KVAH,RPhaseVoltage,YPhaseVoltage,BPhaseVoltage,RPhaseCurrent,YPhaseCurrent,BPhaseCurrent,ActivePower,ReactivePower,ApparentPower,TotalPowerFactor,Frequency,MaximumDemandKW,MaximumDemandKVA
2024-01-07,163223.987,165934.811,230.49983301472082,228.68427593401015,228.7573656857868,1.0072829613503496,3.8305265965986726,1.2826703250901403,0.5663738708869678,511.076022813967,0.6050795123646368,0.9034654451827411,49.87905868228426,0.24,0.24
2024-01-14,167479.749,170366.255,230.27112100298507,231.4177831676617,229.800362339801,1.3128518042763764,4.2441745449030135,1.380654775360495,0.8678560360483588,802.1512837988225,0.8469987515444166,0.8983913479651742,49.862958180696516,0.24,0.24
2024-01-21,0.0,0.0,,,,,,,,,,,,,
2024-01-28,0.0,0.0,,,,,,,,,,,,,
2024-02-04,12799.713,13067.989,230.52756928,227.28264057333334,232.28836406,1.5886018615150799,4.423901290598367,1.7365473173650787,1.240815037467771,514.4395534873202,1.269194042209749,0.9117149063333334,49.85299851133333,0.32,0.32
2024-02-11,179178.601,183178.232,229.99715943444977,229.7830332755981,231.19301215311006,1.1530177879813372,4.157245252887808,1.6316959503797854,0.6335344907903051,623.7363055311816,0.7044399236824338,0.897090580875598,49.836608628468895,0.32,0.32
2024-02-18,40456.962,41420.327,233.04372718510638,230.37931305531913,229.06963888085107,1.4187905964023975,4.115743577899253,1.4187671506540105,0.9647681357719251,576.352896760966,1.0535696034047024,0.8954893000425532,49.89590845893617,0.32,0.32
2024-02-25,0.0,0.0,,,,,,,,,,,,,
2024-03-03,34625.837999999996,35587.617,229.0957587051282,230.61229484871794,227.91983017692306,2.8417753729343596,4.5441981195522425,1.701951195639432,1.6139511359726721,602.0833516529855,1.731906349905381,0.9056311747435897,49.827728245641026,0.28,0.28
2024-03-10,211306.396,217175.714,229.56350615882351,229.46053500504203,230.22054882983193,2.7608104010235612,4.199370708602863,1.6559494459407318,1.5398782206836021,611.372383446247,1.6559207266456037,0.8942561172268908,49.86956915105042,0.28,0.28
2024-03-17,34625.837999999996,35587.617,231.0362552230769,231.5196288692308,229.74331441025637,3.0725014345006607,4.88888375755075,1.870642300462365,1.7705545367695372,603.4739981179695,1.890768688167102,0.8920961394358974,49.879313420256416,0.28,0.28
2024-03-24,0.0,0.0,,,,,,,,,,,,,
2024-03-31,0.0,0.0,,,,,,,,,,,,,
2024-04-07,206867.186,212613.19900000002,229.71118428626608,229.21657258240344,229.53131297682404,2.5429872891614034,4.019956682706826,1.421101425106322,1.3836666310432455,619.3629514369596,1.4739867373201136,0.89967268572103,49.86578985785408,0.0,0.0
2024-04-14,109204.56599999999,112237.869,230.00944996504063,230.51157220894308,231.96713273902438,2.6437695751534918,4.073054518788593,1.5597672961121207,1.4766870553107951,605.1165016493258,1.583898910489322,0.9063313423658537,49.85044445512195,0.0,0.0
2024-04-21,0.0,0.0,,,,,,,,,,,,,
2024-04-28,0.0,0.0,,,,,,,,,,,,,
2024-05-05,79551.613,81709.19,228.32603245487806,231.0896623426829,231.67187329268293,1.414940583476883,4.7368440416533435,1.9793501365919401,0.7183954039951501,457.3732352610524,0.7607404294997087,0.8987655429999999,49.81384871682927,0.08,0.08
2024-05-12,211786.094,217510.914,230.17558103023256,231.09466714139535,230.62659207860466,2.026844734999062,4.539093735667336,1.8219447555835737,1.1758662675676754,365.1098582836454,1.249809464157494,0.898206658572093,49.86890479083721,0.1,0.12
