CreatedDate,KWH,KVAH,RPhaseVoltage,YPhaseVoltage,BPhaseVoltage,RPhaseCurrent,YPhaseCurrent,BPhaseCurrent,ActivePower,ReactivePower,ApparentPower,TotalPowerFactor,Frequency,MaximumDemandKW,MaximumDemandKVA
2024-01-04,28089.856,28549.519,230.10993440000001,229.34948240588233,230.68278022941175,1.5992361433983096,4.101279708244077,1.40498024809692,0.8735277071627507,422.2519455483885,0.9416091940661363,0.9155194371470587,49.897924861470585,0.22,0.22
2024-01-05,46355.748,47120.718,232.1801342017857,227.81978128392856,227.0395342375,0.7456275811563547,3.3247684383065215,1.013269920280456,0.33585345253544513,710.467272391416,0.3594519089656684,0.9050168928035714,49.902630443214285,0.24,0.24
2024-01-06,44791.306,45537.269,230.20570907222222,229.81575012407407,229.3076942,1.1415374696368379,4.0301770077316,1.5671633181203672,0.6002874339101686,335.25444770638165,0.665922399470196,0.9042798575555556,49.89095427074074,0.24,0.24
2024-01-07,43987.077,44727.305,229.27421753018865,228.0181452566038,228.77654921132074,0.767217860477948,3.9878044997541178,1.1989960545897551,0.5783470895861338,536.5189229366487,0.5867327332852222,0.8932636515660377,49.829929805283015,0.24,0.24
2024-01-08,30747.825,31271.651,229.2809591135135,228.26794714864863,229.42201751351354,2.0127617760291256,4.681592440112262,1.625127028248426,1.295183617190367,779.3650811878337,1.3801539022152338,0.9032054905945947,49.872721967567564,0.24,0.24
2024-01-09,39943.034,40630.262,230.84946673541666,233.16015184583333,230.48411937083333,0.7462113861286933,3.4483621741589165,0.9644023015127244,0.39012830163755047,814.018988928983,0.37782483789577886,0.8962955499166667,49.849747079375,0.04,0.04
2024-01-10,38348.044,39011.187,230.88064010434783,235.09403201304346,230.1229587521739,1.0383352239155106,4.491109233341729,1.5802112716349868,0.6144157845304977,667.3066553164269,0.5501128466034757,0.885282383673913,49.863908179347824,0.04,0.04
2024-01-11,32549.747,33113.386,229.6012215641026,229.95121185897435,229.47092814358976,0.36333333333333334,3.9497148678793312,0.8886358074463956,0.6427983945721774,1138.3937353043782,0.451658215052369,0.9085065444102565,49.83688038641026,0.04,0.04
2024-01-12,25891.099,26339.769,230.49575307419357,228.86936608064514,229.1289726548387,2.956756777812363,4.958350783893887,2.056260785291552,1.756737014656655,588.0492499869655,1.8750193912472395,0.9026169842580645,49.90315839967742,0.02,0.02
2024-01-13,0.0,0.0,,,,,,,,,,,,,
2024-01-14,0.0,0.0,,,,,,,,,,,,,
2024-01-15,0.0,0.0,,,,,,,,,,,,,
2024-01-16,0.0,0.0,,,,,,,,,,,,,
2024-01-17,0.0,0.0,,,,,,,,,,,,,
2024-01-18,0.0,0.0,,,,,,,,,,,,,
2024-01-19,0.0,0.0,,,,,,,,,,,,,
2024-01-20,0.0,0.0,,,,,,,,,,,,,
2024-01-21,0.0,0.0,,,,,,,,,,,,,
2024-01-22,0.0,0.0,,,,,,,,,,,,,
2024-01-23,0.0,0.0,,,,,,,,,,,,,
2024-01-24,0.0,0.0,,,,,,,,,,,,,
2024-01-25,0.0,0.0,,,,,,,,,,,,,
2024-01-26,0.0,0.0,,,,,,,,,,,,,
2024-01-27,0.0,0.0,,,,,,,,,,,,,
2024-01-28,0.0,0.0,,,,,,,,,,,,,
2024-01-29,0.0,0.0,,,,,,,,,,,,,
2024-01-30,0.0,0.0,,,,,,,,,,,,,
2024-01-31,0.0,0.0,,,,,,,,,,,,,
2024-02-01,0.0,0.0,,,,,,,,,,,,,
2024-02-02,0.0,0.0,,,,,,,,,,,,,
2024-02-03,0.0,0.0,,,,,,,,,,,,,
2024-02-04,12799.713,13067.989,230.52756928,227.28264057333334,232.28836406,1.5886018615150799,4.423901290598367,1.7365473173650787,1.240815037467771,514.4395534873202,1.269194042209749,0.9117149063333334,49.85299851133333,0.32,0.32
2024-02-05,14523.2,14829.024,226.93101241764705,234.47860993529412,232.04150903529413,0.27588235294117647,3.419430434132586,1.0824214939917483,0.24346889373033165,817.6662232230282,0.25335757959097616,0.8861723704705883,49.77975829529412,0.32,0.32
2024-02-06,28241.934,28851.606,233.42720553333334,226.39546978484847,228.88491207272727,1.3109796900909028,4.462657355688114,1.8900329696297422,0.7913757026438656,290.56762872485604,0.8718030714753264,0.8950390997878788,49.78822006515151,0.32,0.32
2024-02-07,36831.483,37640.355,229.0941341372093,230.8594633372093,231.30957310930233,1.5165549568795509,3.6963269802035277,1.3461630346054663,0.6599203091972274,667.8399565367961,0.7327820882578926,0.8945570899767442,49.81922833790698,0.32,0.32
2024-02-08,37724.838,38568.437,231.0136102818182,229.34922783409093,230.59883708863637,0.8599566231380918,3.3195641321959255,1.0297556201243938,0.4854044395131242,864.6967408400811,0.5764440342054897,0.9002823858181818,49.87526339568182,0.32,0.32
2024-02-09,7723.124,7898.4,230.34278136666666,224.34168718888887,230.7612597888889,0.6800287769784172,3.4662070191276477,1.382233806372299,0.2823400502833127,330.3460902669464,0.3279612946279613,0.9104188648888889,49.84718708888889,0.32,0.32
2024-02-10,32639.559,33392.958,227.91952281578946,233.60249356578947,232.78217560000002,1.9465142150671513,4.984140751904751,2.1849517446893847,1.2063675673603147,405.357424329776,1.3031765546359246,0.9007014719473684,49.88651147236842,0.32,0.32
2024-02-11,21494.463,21997.452,230.35231234,226.126967776,232.24789206000003,0.39562536743381815,5.514806161027533,2.46358687618713,0.16147770192842145,869.2543459330175,0.19223343239794297,0.89567620996,49.8213408996,0.32,0.32
2024-02-12,40456.962,41420.327,233.04372718510638,230.37931305531913,229.06963888085107,1.4187905964023975,4.115743577899253,1.4187671506540105,0.9647681357719251,576.352896760966,1.0535696034047024,0.8954893000425532,49.89590845893617,0.32,0.32
2024-02-13,0.0,0.0,,,,,,,,,,,,,
2024-02-14,0.0,0.0,,,,,,,,,,,,,
2024-02-15,0.0,0.0,,,,,,,,,,,,,
2024-02-16,0.0,0.0,,,,,,,,,,,,,
2024-02-17,0.0,0.0,,,,,,,,,,,,,
2024-02-18,0.0,0.0,,,,,,,,,,,,,
2024-02-19,0.0,0.0,,,,,,,,,,,,,
2024-02-20,0.0,0.0,,,,,,,,,,,,,
2024-02-21,0.0,0.0,,,,,,,,,,,,,
2024-02-22,0.0,0.0,,,,,,,,,,,,,
2024-02-23,0.0,0.0,,,,,,,,,,,,,
2024-02-24,0.0,0.0,,,,,,,,,,,,,
2024-02-25,0.0,0.0,,,,,,,,,,,,,
2024-02-26,0.0,0.0,,,,,,,,,,,,,
2024-02-27,0.0,0.0,,,,,,,,,,,,,
2024-02-28,0.0,0.0,,,,,,,,,,,,,
2024-02-29,0.0,0.0,,,,,,,,,,,,,
2024-03-01,0.0,0.0,,,,,,,,,,,,,
2024-03-02,0.0,0.0,,,,,,,,,,,,,
2024-03-03,34625.837999999996,35587.617,229.0957587051282,230.61229484871794,227.91983017692306,2.8417753729343596,4.5441981195522425,1.701951195639432,1.6139511359726721,602.0833516529855,1.731906349905381,0.9056311747435897,49.827728245641026,0.28,0.28
2024-03-04,36401.522,37412.623,229.67687662926826,227.35489071707318,227.3903133487805,2.5160900408775952,3.7182322297835784,1.4314443802103156,1.3632038547256662,621.5866689093473,1.460532273195499,0.8900329343414635,49.924448373658535,0.28,0.28
2024-03-05,45279.942,46537.653000000006,230.15536105490196,228.73753554509804,229.2003733764706,2.5475528294915173,3.5934326201844975,1.4155859757630709,1.360358143719628,622.5492063863524,1.4684670025111677,0.8905658086862746,49.83505693372549,0.28,0.28
2024-03-06,20420.365999999998,20987.569,229.63108403913043,230.8288202521739,228.8290851478261,2.9033919867228675,4.389534104401986,1.7745878097875818,1.6502105804012361,602.3959154262592,1.7718107879137301,0.8855414896086956,49.86843499,0.28,0.28
2024-03-07,26635.26,27375.09,225.52050766333335,230.04339376333334,235.98782921666668,2.823907688121387,4.310721523574256,1.6729498687881459,1.555294330290825,613.2004459240806,1.691587396508369,0.9021528058666667,49.836431805,0.28,0.28
2024-03-08,20420.365999999998,20987.569,228.8648212652174,231.80922932173914,232.4054410869565,2.425019297310413,4.023979537618497,1.4203114117330211,1.3316272475883681,610.344930845923,1.4613649486832172,0.9076496953043478,49.90761636391304,0.28,0.28
2024-03-09,35513.68,36500.12,233.4210004075,230.7104301425,231.04802520500002,3.120006408604989,4.982592918010183,2.04686337892404,1.8377193728378025,588.4244305484689,1.9483280270883694,0.8896680072500001,49.8629876965,0.28,0.28
2024-03-10,26635.26,27375.09,227.78593473333333,228.46827800666668,228.34395813,3.0639014314317397,4.720048913427968,1.922871682192492,1.7490506094415397,614.8511415099407,1.8763902564017678,0.9009349209999999,49.866850928666665,0.28,0.28
2024-03-11,34625.837999999996,35587.617,231.0362552230769,231.5196288692308,229.74331441025637,3.0725014345006607,4.88888375755075,1.870642300462365,1.7705545367695372,603.4739981179695,1.890768688167102,0.8920961394358974,49.879313420256416,0.28,0.28
2024-03-12,0.0,0.0,,,,,,,,,,,,,
2024-03-13,0.0,0.0,,,,,,,,,,,,,
2024-03-14,0.0,0.0,,,,,,,,,,,,,
2024-03-15,0.0,0.0,,,,,,,,,,,,,
2024-03-16,0.0,0.0,,,,,,,,,,,,,
2024-03-17,0.0,0.0,,,,,,,,,,,,,
2024-03-18,0.0,0.0,,,,,,,,,,,,,
2024-03-19,0.0,0.0,,,,,,,,,,,,,
2024-03-20,0.0,0.0,,,,,,,,,,,,,
2024-03-21,0.0,0.0,,,,,,,,,,,,,
2024-03-22,0.0,0.0,,,,,,,,,,,,,
2024-03-23,0.0,0.0,,,,,,,,,,,,,
2024-03-24,0.0,0.0,,,,,,,,,,,,,
2024-03-25,0.0,0.0,,,,,,,,,,,,,
2024-03-26,0.0,0.0,,,,,,,,,,,,,
2024-03-27,0.0,0.0,,,,,,,,,,,,,
2024-03-28,0.0,0.0,,,,,,,,,,,,,
2024-03-29,0.0,0.0,,,,,,,,,,,,,
2024-03-30,0.0,0.0,,,,,,,,,,,,,
2024-03-31,0.0,0.0,,,,,,,,,,,,,
2024-04-01,0.0,0.0,,,,,,,,,,,,,
2024-04-02,0.0,0.0,,,,,,,,,,,,,
2024-04-03,63036.782,64787.713,229.82172538309857,227.79867120985915,230.36814072394367,2.6559444841130575,4.262898666451179,1.5473887761529355,1.4728366516942282,610.079432573156,1.567707256768636,0.8932192221690142,49.86156676464789,0.0,0.0
2024-04-04,42616.416,43800.144,229.3636065125,229.22334426041667,230.2123662875,2.4674236882282976,3.7105611236608786,1.3440228585518927,1.3190130561067155,621.6722507487376,1.41145677947038,0.9134327189166668,49.83061311395833,0.0,0.0
2024-04-05,34625.837999999996,35587.617,228.9983884025641,230.57584615641025,228.87944164615385,2.8822764079978755,4.445704419031479,1.794379346669483,1.6401022213216498,604.5542067454442,1.7430098095537807,0.9030813954358974,49.91386588692308,0.0,0.0
2024-04-06,34625.837999999996,35587.617,229.9502040153846,229.6814212923077,227.94646054615384,2.228063829743981,3.598174208226604,1.1036608517580504,1.1433080163404366,633.465736227341,1.222203441770584,0.9102876010769231,49.87279511230769,0.0,0.0
2024-04-07,31962.311999999998,32850.108,230.4698672111111,230.0278278,229.395949025,2.3945659359913667,3.949052815385259,1.2143156664930546,1.2765915778011736,635.3578377844302,1.3538458985773572,0.8788613785277778,49.861349670833334,0.0,0.0
2024-04-08,32850.154,33762.611000000004,229.48641041351354,227.95341674594596,230.40651075135133,2.790189453185137,4.189016332372901,1.768627223523561,1.5848589905904376,600.5188146682111,1.7001562731931232,0.9085438660270271,49.83477540513513,0.0,0.0
2024-04-09,31962.311999999998,32850.108,228.80724644444444,232.8095655472222,231.86960334722224,2.4782320849783486,3.9280647130510413,1.3194513034156448,1.3495186015160183,617.7966622814134,1.444247002462155,0.9132961672222222,49.86449762611111,0.0,0.0
2024-04-10,30186.628,31025.102000000003,229.74191405294118,229.99621451764708,231.45574125000002,2.8966958479041587,4.4503735347294615,1.8620209104174732,1.6778112974264512,587.2269773577084,1.8090148178463539,0.9004526918235294,49.85823492441176,0.0,0.0
2024-04-11,13317.63,13687.545,234.10745327333333,232.59216677999999,236.30547825333332,2.1627099974055595,3.3445252320494823,1.0033425919844252,1.0994733059622546,623.5114017669094,1.166504428352608,0.9016040134,49.85439395666666,0.0,0.0
2024-04-12,887.842,912.503,240.2674115,228.7488071,245.5333323,1.801984126984127,3.101193181818182,0.5530733944954128,0.872371794871795,651.0654613466335,0.91682156133829,0.844518325,49.60016667,0.0,0.0
2024-04-13,0.0,0.0,,,,,,,,,,,,,
2024-04-14,0.0,0.0,,,,,,,,,,,,,
2024-04-15,0.0,0.0,,,,,,,,,,,,,
2024-04-16,0.0,0.0,,,,,,,,,,,,,
2024-04-17,0.0,0.0,,,,,,,,,,,,,
2024-04-18,0.0,0.0,,,,,,,,,,,,,
2024-04-19,0.0,0.0,,,,,,,,,,,,,
2024-04-20,0.0,0.0,,,,,,,,,,,,,
2024-04-21,0.0,0.0,,,,,,,,,,,,,
2024-04-22,0.0,0.0,,,,,,,,,,,,,
2024-04-23,0.0,0.0,,,,,,,,,,,,,
2024-04-24,0.0,0.0,,,,,,,,,,,,,
2024-04-25,0.0,0.0,,,,,,,,,,,,,
2024-04-26,0.0,0.0,,,,,,,,,,,,,
2024-04-27,0.0,0.0,,,,,,,,,,,,,
2024-04-28,0.0,0.0,,,,,,,,,,,,,
2024-04-29,0.0,0.0,,,,,,,,,,,,,
2024-04-30,0.0,0.0,,,,,,,,,,,,,
2024-05-01,0.0,0.0,,,,,,,,,,,,,
2024-05-02,0.0,0.0,,,,,,,,,,,,,
2024-05-03,36771.329,37769.623999999996,227.7265326421053,230.2979326,232.74245179473684,0.8465664016907034,4.891537651532002,2.13455825948887,0.2673684210526316,360.36390426324357,0.2726315789473684,0.9004057351578948,49.849496070526314,0.08,0.08
2024-05-04,27185.085,27922.085,228.00086676785713,231.94460466071428,229.65571275714288,2.5655573064592025,4.974145280697141,2.134628455261756,1.5360151117000826,454.0783074167247,1.647168400677718,0.9059768564999999,49.808987020357144,0.08,0.08
2024-05-05,15595.199,16017.481,230.3188844625,231.473871425,232.6575302875,0.75125,3.9541695498648854,1.3389937870395534,0.35875,693.5365201084217,0.36875,0.882250288,49.737694220625,0.08,0.08
2024-05-06,37168.088,38174.186,234.09049217631576,229.97681766578947,233.2585776236842,1.8916561056269403,4.019309055864958,1.5422605372574205,1.061035766506794,355.439807251653,1.1282587157033979,0.905323868868421,49.89335215842105,0.1,0.1
2024-05-07,40219.127,41307.298,227.92818979512197,233.68516980243902,230.84144660487806,2.519221196014698,4.796375083250202,2.0033125665509863,1.4870591764106398,413.36819149859434,1.5987961617380864,0.9013970090731708,49.90095284463415,0.1,0.1
2024-05-08,36393.21,37376.903,229.93483448378376,228.98857720540542,228.83985255405403,2.2188961015679056,4.624678434307918,1.939922628592376,1.3023616931869593,388.87001966341285,1.3840261185737144,0.8884611027837839,49.86698128351352,0.1,0.1
2024-05-09,36491.185,37477.093,232.03310872702704,229.38685771891895,231.88055504054054,2.1883545168461698,4.537073078901351,1.9278747541276688,1.294788856065448,422.2455418309239,1.3701913706956328,0.9007534947297298,49.860463798108114,0.1,0.12
2024-05-10,32666.891,33549.527,228.33332622727272,231.34925026060606,229.7249856212121,1.5892517341633514,4.399437264713064,1.387413027616923,0.8735152707992739,211.43220039408536,0.9154204624124005,0.8914438857878788,49.80244807242424,0.1,0.12
2024-05-11,27851.449,28602.849000000002,228.87804625714284,233.95543354642857,229.1169256285714,1.558822745202164,4.973307204509227,2.1975071549857286,0.9250674252943115,394.8261648458324,0.9803442358319796,0.9007960132142857,49.892226369642856,0.1,0.12
2024-05-12,996.144,1023.058,210.8564777,219.9739121,213.5385123,1.44,3.101193181818182,0.5530733944954128,0.7,0.14,0.72,0.913970495,49.54948862,0.1,0.1
