CreatedDate,KWH,KVAH,RPhaseVoltage,YPhaseVoltage,BPhaseVoltage,RPhaseCurrent,YPhaseCurrent,BPhaseCurrent,ActivePower,ReactivePower,ApparentPower,TotalPowerFactor,Frequency,MaximumDemandKW,MaximumDemandKVA
2024-04-04,110.824,119.39,228.12056176521742,229.50693836086955,228.83235646086956,2.503768735343986,4.156469490418106,1.390157431230651,0.9770309352480405,1012.9404703979959,1.036047418864494,0.9110726137826086,49.89508716826087,0.34,0.38
2024-04-05,251.546,269.556,230.81881575217395,232.1901523043478,229.5134432434783,2.9744148507301715,4.024358697026035,0.8651894259745876,0.7264939536955825,1103.1615242450866,0.7683567651278264,0.896541166347826,49.81042349782609,0.58,0.58
2024-04-06,655.976,711.089,229.0504186285714,231.04383958214288,234.32579977857145,4.143580795889185,3.892682591327396,1.376440980621973,2.192272126536042,461.73500629706086,2.4096392622499363,0.8943428345357143,49.76138405857143,0.58,0.58
2024-04-07,673.27,730.7560000000001,233.0273874846154,230.9224037923077,230.80613078076925,2.2006840944743624,3.604104325345154,1.0249423797824255,1.1222684944910355,639.9254453866544,1.2024469068490142,0.8971672989615385,49.84687034346154,0.58,0.58
2024-04-08,440.794,478.39000000000004,235.2145048,234.3890336882353,228.84641600588236,2.6850055197403737,4.185736005155678,1.6962788278413279,1.519031772059251,640.3615774270967,1.6063167525488407,0.8863684982941177,49.902695877058825,0.58,0.58
2024-04-09,931.106,1006.434,229.4881456464286,231.75113412857144,228.0985089214286,3.9461476139624954,4.276686066917989,0.30250000000000005,1.0464285714285715,596.8181851933488,1.1042857142857143,0.90046542125,49.93467302142857,0.58,0.58
2024-04-10,300.929,323.063,231.67627235714286,223.38702207142856,229.33467764285712,3.173461079692494,4.319857750239544,0.8825850340136056,0.9044389998743559,901.8609180038466,0.9566192905733722,0.9245628215714286,49.90473448714285,0.58,0.58
2024-04-11,110.172,117.57900000000001,246.9147649,230.7936769,246.44903440000002,3.5300000000000002,2.6012912912912918,0.625,1.9500000000000002,655.75,2.01,0.8935702525,49.834132104999995,0.58,0.58
2024-04-12,1016.973,1082.842,223.10897580588235,226.96140780588235,226.09847499411765,2.896650401388074,3.844346366192199,1.0352190687595793,0.9935157776743063,888.3438737704631,1.03416532412705,0.9001534665294117,49.83171597941176,0.58,0.58
2024-04-13,0.0,0.0,,,,,,,,,,,,,
2024-04-14,0.0,0.0,,,,,,,,,,,,,
2024-04-15,0.0,0.0,,,,,,,,,,,,,
2024-04-16,0.0,0.0,,,,,,,,,,,,,
2024-04-17,0.0,0.0,,,,,,,,,,,,,
2024-04-18,0.0,0.0,,,,,,,,,,,,,
2024-04-19,0.0,0.0,,,,,,,,,,,,,
2024-04-20,0.0,0.0,,,,,,,,,,,,,
2024-04-21,0.0,0.0,,,,,,,,,,,,,
2024-04-22,0.0,0.0,,,,,,,,,,,,,
2024-04-23,0.0,0.0,,,,,,,,,,,,,
2024-04-24,0.0,0.0,,,,,,,,,,,,,
2024-04-25,0.0,0.0,,,,,,,,,,,,,
2024-04-26,0.0,0.0,,,,,,,,,,,,,
2024-04-27,0.0,0.0,,,,,,,,,,,,,
2024-04-28,0.0,0.0,,,,,,,,,,,,,
2024-04-29,0.0,0.0,,,,,,,,,,,,,
2024-04-30,0.0,0.0,,,,,,,,,,,,,
2024-05-01,0.0,0.0,,,,,,,,,,,,,
2024-05-02,0.0,0.0,,,,,,,,,,,,,
2024-05-03,0.0,0.0,,,,,,,,,,,,,
2024-05-04,6406.57,6771.265,228.29630842962962,229.5782760740741,231.3627526888889,2.6752150426837886,3.677000448172711,1.4525756565860037,1.3464609525054996,766.6805256377904,1.4441935306901998,0.9058824116666666,49.80162532,0.46,0.5
2024-05-05,8224.419,8690.857,226.84384116666666,232.3063922969697,230.35375240303028,4.028168193985283,4.174387955869355,0.9757575757575758,2.1987878787878787,655.1218118996843,2.284242424242424,0.9005173631212121,49.838934055757576,0.5,0.54
2024-05-06,4452.81,4704.347,229.5755941882353,230.11568359411763,236.20050468235294,4.157716777974103,3.6827212293450775,0.6556954767466553,1.6176470588235294,612.4584951378926,1.66,0.9053673381764706,49.82109641647059,0.5,0.54
2024-05-07,7952.1539999999995,8391.297,231.1469281689655,226.7191901586207,229.01610216896552,3.9695455037937752,4.075224673972763,1.205796470535823,1.9639026522712255,592.2896426402714,2.034242901679498,0.8898664521034483,49.86741658034483,0.5,0.5
2024-05-08,9809.702000000001,10336.762,230.1965458794118,229.57828463235296,231.48373137058823,3.309483321364977,4.327171766791297,1.4986595511250689,1.6651403823260251,629.5626260248455,1.739668854805901,0.8865406283823529,49.91611605970588,0.5,0.5
2024-05-09,2979.6,3136.924,232.26483914,227.93481343,227.2447937,3.8681374868692906,3.175519497776192,0.42699999999999994,1.548,590.3835489272633,1.5939999999999999,0.9329772711000001,49.837864054,0.5,0.5
2024-05-10,4975.839,5233.559,227.578229925,230.12567289999998,229.98493955,4.831561236671626,3.6974169037436466,1.0328027525632006,2.4371838893945283,378.4643686281085,2.5633278021442334,0.878100502875,49.820746705625,0.5,0.52
2024-05-11,5799.005999999999,6100.866,231.29773431111113,228.2025528611111,230.55118086111113,3.0013583680151403,4.755944267288592,1.8897568803770755,1.752130323859686,595.9023328413206,1.888022242430286,0.8892713853333333,49.86246780944444,0.5,0.52
2024-05-12,14175.350999999999,14913.258,233.25743274318182,231.8795276068182,229.8915584159091,2.6778224530965598,4.345598763089041,1.4893112529476795,1.4860097438486077,612.4247386317942,1.5830969272247435,0.9156746600681818,49.85367264454545,0.5,0.52
